,ID,NAME,CATEGORY,ADDRESS_2,ADDRESS_1,LNG,LAT,REVIEW_COUNT,STAR_MEAN
68,38491537,일월모텔,모텔,두류동 475-7,대구 달서구 두류동,128.5587249,35.8547903,30,4.38
69,16369574,이월드중앙광장,부속건물,두류동 산302-11,대구 달서구 두류동,128.5646622,35.8537778,102,4.52
70,16323934,와자자 모텔,모텔,대명동 1892-52,대구 남구 대명동,128.5831825,35.8557297,10,4.7
71,37187306,룩모텔,모텔,성당동 117-23,대구 달서구 성당동,128.567563,35.847924,30,4.13
72,16370898,이월드진입광장,부속건물,두류동 산302-11,대구 달서구 두류동,128.5618948,35.8544412,20,4.33
73,16369413,이월드후룸라이드,부속건물,두류동 산302-11,대구 달서구 두류동,128.5647754,35.8525864,71,4.56
74,37468776,이월드 별빛축제,"축제,행사",두류동 산302-11,대구 달서구 두류동,128.5654579,35.8532661,1563,4.48
75,15972639,W뉴욕모텔,모텔,이천동 390-1,대구 남구 이천동,128.5989941,35.8552389,10,3.5
76,1241499207,플레이모텔,모텔,내당동 247-4,대구 서구 내당동,128.5555286,35.8627368,25,4.44
77,37868792,Urban Den,게스트하우스,대봉동 31-28,대구 중구 대봉동,128.6062806,35.859958,45,4.8
78,13448087,요요모텔,펜션,봉덕동 984-10,대구 남구 봉덕동,128.5913893,35.844787,36,4.03
79,37196576,글렌즈게스트하우스,게스트하우스,삼덕동3가 328-4,대구 중구 삼덕동3가,128.607059,35.8633187,189,4.52
80,1574422628,스위트호텔,모텔,대현동 412-6,대구 북구 대현동,128.6040272,35.885042,15,4.33
81,34326350,부티크호텔2월 대구황금점,호텔,황금동  779-2,대구 수성구 황금동,128.6239866,35.8451052,17,3.76
82,1285354838,브라운호텔,호텔,신천동 312-2,대구 동구 신천동,128.6286393,35.8685624,35,4.13
83,32255699,호텔투하트,모텔,신천동 340-2,대구 동구 신천동,128.628325,35.8702237,44,4.64
