field_1,wkt_geom,field_1_1,osmid,color,y,x,street_cou,lon,lat,highway,ref,geometry
"43",Point (128.61737679999998818 35.85718630000000218),"69","366657164",#0d0887,"3968176.086","465452.9304","4","128.6173768","35.8571863",,,POINT (465452.9304158158 3968176.086060268)
"44",Point (128.61913540000000467 35.85872270000000128),"70","366657217",#0d0887,"3968345.873","465612.3788","4","128.6191354","35.8587227",,,POINT (465612.3787971611 3968345.8727175165)
"45",Point (128.6169219999999882 35.85211639999999989),"72","369782435",#0d0887,"3967613.93","465409.6641","4","128.616922","35.8521164",,,POINT (465409.6641393498 3967613.9304369385)
"46",Point (128.61681219999999826 35.85090420000000222),"73","369782353",#0d0887,"3967479.521","465399.223","4","128.6168122","35.8509042",,,POINT (465399.22297037975 3967479.520948824)
"47",Point (128.61547870000001126 35.85165270000000248),"74","439679828",#0d0887,"3967563.012","465279.1374","4","128.6154787","35.8516527",,,POINT (465279.13742884964 3967563.0115460926)
"48",Point (128.61678240000000528 35.84675210000000334),"76","365366408",#0d0887,"3967019.011","465394.7282","4","128.6167824","35.8467521",,,POINT (465394.7281903301 3967019.011264003)
"49",Point (128.61676959999999781 35.84742409999999779),"77","369782313",#0d0887,"3967093.549","465393.8643","4","128.6167696","35.8474241",,,POINT (465393.86427363934 3967093.5490402924)
"50",Point (128.61679520000001276 35.84606490000000178),"78","3016437942",#0d0887,"3966942.788","465395.5855","3","128.6167952","35.8460649",,,POINT (465395.5855282031 3966942.787625433)
"51",Point (128.61841279999998733 35.8466249000000019),"79","6944139641",#0d0887,"3967004.328","465541.9021","3","128.6184128","35.8466249",,,POINT (465541.9020508259 3967004.3277295586)
"52",Point (128.61524479999999926 35.84684589999999815),"80","2137643253",#0d0887,"3967029.96","465255.9203","3","128.6152448","35.8468459",,,POINT (465255.9202646268 3967029.959814327)
"53",Point (128.61679820000000518 35.84510310000000288),"82","2137643216",#0d0887,"3966836.111","465395.4386","3","128.6167982","35.8451031",,,POINT (465395.4386263494 3966836.110878816)
"54",Point (128.61680200000000696 35.84333869999999678),"83","2137643183",#0d0887,"3966640.415","465395.0154","3","128.616802","35.8433387",,,POINT (465395.01535034535 3966640.415485169)
"55",Point (128.61681459999999788 35.8403773000000001),"85","365366413",#0d0887,"3966311.955","465394.8669","4","128.6168146","35.8403773",,,POINT (465394.8669316982 3966311.954822285)
"56",Point (128.61680939999999396 35.84122059999999976),"86","3016437106",#0d0887,"3966405.489","465394.7636","3","128.6168094","35.8412206",,,POINT (465394.76360283274 3966405.4891359312)
"57",Point (128.61681459999999788 35.83917590000000075),"87","4641975113",#0d0887,"3966178.705","465394.3451","3","128.6168146","35.8391759",,,POINT (465394.3451330965 3966178.7046195706)
"58",Point (128.61778079999999136 35.84030450000000201),"88","3851554883",#0d0887,"3966303.539","465482.0925","3","128.6177808","35.8403045",,,POINT (465482.0924668798 3966303.539129512)
"59",Point (128.61581780000000208 35.84045420000000348),"89","4641943911",#0d0887,"3966320.837","465304.8799","3","128.6158178","35.8404542",,,POINT (465304.879868849 3966320.836967877)
"60",Point (128.61680380000001378 35.83503679999999747),"90","365366416",#0d0887,"3965719.631","465391.5721","4","128.6168038","35.8350368",,,POINT (465391.5721250106 3965719.6309712273)
"61",Point (128.61680759999998713 35.83568929999999852),"91","6944139648",#0d0887,"3965792.0","465392.1987","3","128.6168076","35.8356893",,,POINT (465392.1986963608 3965791.9999400326)
"62",Point (128.61779500000000098 35.8350995999999995),"93","3731367729",#0d0887,"3965726.246","465481.1201","3","128.617795","35.8350996",,,POINT (465481.12014087965 3965726.2461929265)
"63",Point (128.61577550000001224 35.83497719999999731),"94","3738923094",#0d0887,"3965713.385","465298.6746","4","128.6157755","35.8349772",,,POINT (465298.674647011 3965713.3847299325)
"122",Point (128.60171690000001377 35.86968079999999759),"175","365381420",#0d0887,"3969567.532","464044.6339","3","128.6017169","35.8696808",,,POINT (464044.63387085864 3969567.5320306784)
"123",Point (128.60250560000000064 35.86951289999999659),"176","4901458108",#0d0887,"3969548.62","464115.7591","3","128.6025056","35.8695129",,,POINT (464115.75913504825 3969548.620003943)
"124",Point (128.60035650000000373 35.86999490000000179),"177","365781914",#0d0887,"3969602.871","463921.9643","4","128.6003565","35.8699949",,,POINT (463921.9642902818 3969602.870910782)
"125",Point (128.60197439999998892 35.870510000000003),"178","7713182961",#0d0887,"3969659.406","464068.2544","3","128.6019744","35.87051",,,POINT (464068.2544009436 3969659.406483528)
"141",Point (128.62250689999999054 35.85925619999999725),"222","365399808",#0d0887,"3968403.865","465917.0156","4","128.6225069","35.8592562",,,POINT (465917.015613244 3968403.8645612923)
"142",Point (128.62251739999999245 35.85943979999999698),"223","7117301007",#0d0887,"3968424.224","465918.0422","4","128.6225174","35.8594398",,,POINT (465918.04223118647 3968424.224487854)
"143",Point (128.62249600000001237 35.85882660000000044),"224","366657199",#0d0887,"3968356.22","465915.8476","4","128.622496","35.8588266",,,POINT (465915.8475670154 3968356.2202339754)
"144",Point (128.62084400000000528 35.85938790000000154),"226","366657197",#0d0887,"3968419.053","465766.9321","3","128.620844","35.8593879",,,POINT (465766.9321279207 3968419.052527669)
"145",Point (128.62714320000000612 35.86688819999999822),"236","365781347",#0d0887,"3969248.746","466338.8456","4","128.6271432","35.8668882",crossing,,POINT (466338.84561441606 3969248.745535577)
"146",Point (128.62715679999999452 35.86669369999999901),"237","3730190800",#0d0887,"3969227.168","466339.9912","3","128.6271568","35.8666937",,,POINT (466339.99116465775 3969227.168296439)
"147",Point (128.62713790000000813 35.86704689999999829),"238","3730190799",#0d0887,"3969266.349","466338.4342","3","128.6271379","35.8670469",,,POINT (466338.4342481405 3969266.349236698)
"148",Point (128.62794900000000098 35.86680880000000116),"239","3730190790",#0d0887,"3969239.662","466411.5593","4","128.627949","35.8668088",,,POINT (466411.5592841644 3969239.6619761004)
"149",Point (128.62703870000001416 35.86690569999999667),"240","8247026726",#0d0887,"3969250.722","466329.4188","4","128.6270387","35.8669057",,,POINT (466329.4188152397 3969250.7224876964)
"150",Point (128.62651829999998654 35.86695939999999894),"241","365781354",#0d0887,"3969256.858","466282.4601","4","128.6265183","35.8669594",crossing,,POINT (466282.46014978836 3969256.8578197416)
"151",Point (128.62647329999998647 35.86712130000000087),"242","3730190798",#0d0887,"3969274.83","466278.4662","3","128.6264733","35.8671213",,,POINT (466278.46616857086 3969274.8301353655)
"152",Point (128.62658110000000988 35.86675989999999814),"243","3730190801",#0d0887,"3969234.709","466288.0452","3","128.6265811","35.8667599",,,POINT (466288.0451989277 3969234.709045095)
"153",Point (128.62661460000001057 35.86694440000000128),"244","8247026725",#0d0887,"3969255.161","466291.1477","4","128.6266146","35.8669444",,,POINT (466291.14770022576 3969255.1609261944)
"154",Point (128.62602789999999686 35.86700739999999854),"245","3730190810",#0d0887,"3969262.351","466238.2075","4","128.6260279","35.8670074",,,POINT (466238.2075083472 3969262.3508405136)
"162",Point (128.59876869999999371 35.85541150000000243),"258","365781886",#0d0887,"3967985.97","463771.9881","3","128.5987687","35.8554115",,,POINT (463771.9880883125 3967985.9702165374)
"163",Point (128.60000270000000455 35.8553611000000032),"259","1362695854",#0d0887,"3967979.924","463883.3862","4","128.6000027","35.8553611",,,POINT (463883.3862401503 3967979.9238761314)
"164",Point (128.59821590000001379 35.8555484999999976),"260","414665121",#0d0887,"3968001.37","463722.1368","4","128.5982159","35.8555485",,,POINT (463722.13677768025 3968001.3701532064)
"165",Point (128.59835219999999367 35.8551477000000034),"261","2607655966",#0d0887,"3967956.866","463734.2611","3","128.5983522","35.8551477",,,POINT (463734.261097601 3967956.8657594705)
"166",Point (128.59778729999999314 35.85577640000000343),"262","365781888",#0d0887,"3968026.806","463683.5414","3","128.5977873","35.8557764",,,POINT (463683.54139198374 3968026.806227618)
"167",Point (128.59696349999998688 35.85617510000000152),"263","365781889",#0d0887,"3968071.333","463609.3409","4","128.5969635","35.8561751",,,POINT (463609.3409302132 3968071.3333416316)
"168",Point (128.59841069999998808 35.85500590000000187),"264","2607655992",#0d0887,"3967941.117","463739.4787","3","128.5984107","35.8550059",,,POINT (463739.478660208 3967941.1166373133)
"169",Point (128.59702880000000391 35.85630009999999857),"265","7105462557",#0d0887,"3968085.173","463615.2941","4","128.5970288","35.8563001",,,POINT (463615.29409494123 3968085.1731523224)
"175",Point (128.60055500000001416 35.87072510000000136),"288","7713182958",#0d0887,"3969683.786","463940.2149","3","128.600555","35.8707251",,,POINT (463940.2149266019 3969683.7864117757)
"188",Point (128.61395500000000425 35.85736949999999723),"336","366657163",#0d0887,"3968197.619","465144.0546","3","128.613955","35.8573695",,,POINT (465144.0546298079 3968197.6192677757)
"190",Point (128.61395730000000981 35.85835720000000038),"338","369783371",#0d0887,"3968307.167","465144.6947","3","128.6139573","35.8583572",,,POINT (465144.69466981845 3968307.167003498)
"191",Point (128.61472779999999716 35.8573221999999987),"339","366657165",#0d0887,"3968192.098","465213.8103","3","128.6147278","35.8573222",,,POINT (465213.81029537297 3968192.097973946)
"192",Point (128.61732610000001387 35.85658810000000329),"340","366657177",#0d0887,"3968109.756","465448.0931","3","128.6173261","35.8565881",,,POINT (465448.0931138416 3968109.755961251)
"193",Point (128.61605289999999968 35.85724119999999715),"341","366657168",#0d0887,"3968182.644","465333.4187","3","128.6160529","35.8572412",,,POINT (465333.41874906194 3968182.64358275)
"194",Point (128.61898460000000455 35.8570713000000012),"342","366657215",#0d0887,"3968162.764","465598.0498","4","128.6189846","35.8570713",,,POINT (465598.0497589634 3968162.7644107537)
"195",Point (128.61468049999999153 35.85673039999999645),"343","2456943917",#0d0887,"3968126.477","465209.281","4","128.6146805","35.8567304",,,POINT (465209.2809887108 3968126.476623242)
"196",Point (128.61598749999998859 35.85666100000000256),"344","2456943916",#0d0887,"3968118.315","465327.2611","4","128.6159875","35.856661",,,POINT (465327.26111037796 3968118.315182166)
"204",Point (128.61728669999999397 35.85601280000000202),"352","366657180",#0d0887,"3968045.962","465444.286","3","128.6172867","35.8560128",,,POINT (465444.2859823167 3968045.961780457)
"207",Point (128.61722449999999185 35.85541479999999837),"355","366657185",#0d0887,"3967979.658","465438.4103","3","128.6172245","35.8554148",,,POINT (465438.4102823249 3967979.65794395)
"208",Point (128.61658929999998691 35.85604949999999747),"356","366657182",#0d0887,"3968050.279","465381.3324","3","128.6165893","35.8560495",,,POINT (465381.33242825733 3968050.2788794874)
"209",Point (128.61594020000001137 35.8560937000000024),"357","2456943914",#0d0887,"3968055.411","465322.7433","4","128.6159402","35.8560937",,,POINT (465322.74328745954 3968055.411148774)
"210",Point (128.61651969999999778 35.85547069999999792),"358","2456943911",#0d0887,"3967986.107","465374.7964","4","128.6165197","35.8554707",,,POINT (465374.79644209606 3967986.1072247596)
"213",Point (128.61719360000000734 35.85494109999999779),"361","366657187",#0d0887,"3967927.13","465435.4146","3","128.6171936","35.8549411",,,POINT (465435.41463094304 3967927.1295070485)
"217",Point (128.61713380000000484 35.85435549999999694),"365","7105477690",#0d0887,"3967862.2","465429.7609","4","128.6171338","35.8543555",,,POINT (465429.760886925 3967862.2001565346)
"218",Point (128.61644830000000184 35.85498830000000225),"366","366657188",#0d0887,"3967932.628","465368.1398","3","128.6164483","35.8549883",,,POINT (465368.1397650069 3967932.6282036896)
"219",Point (128.6158162000000118 35.85503690000000176),"367","2456943908",#0d0887,"3967938.243","465311.0867","4","128.6158162","35.8550369",,,POINT (465311.08674586384 3967938.2425408848)
"220",Point (128.61711959999999522 35.85421579999999864),"368","414665222",#0d0887,"3967846.711","465428.4181","4","128.6171196","35.8542158",,,POINT (465428.41806815326 3967846.710670399)
"221",Point (128.61568080000000691 35.85371740000000074),"369","3110969195",#0d0887,"3967791.941","465298.2861","4","128.6156808","35.8537174",,,POINT (465298.2860917939 3967791.9412441137)
"224",Point (128.62139569999999367 35.85860180000000241),"377","366657195",#0d0887,"3968331.671","465816.4065","3","128.6213957","35.8586018",,,POINT (465816.40650225675 3968331.6710372176)
"225",Point (128.62144950000001131 35.85909170000000046),"379","366657196",#0d0887,"3968385.988","465821.4743","3","128.6214495","35.8590917",,,POINT (465821.47434274515 3968385.988401675)
"226",Point (128.6206339000000014 35.85862610000000217),"380","1916950898",#0d0887,"3968334.633","465747.6349","3","128.6206339","35.8586261",,,POINT (465747.63490068086 3968334.632731997)
