field_1,wkt_geom,field_1_1,osmid,color,y,x,street_cou,lon,lat,highway,ref,geometry
"20",Point (128.59746039999998857 35.86486210000000341),"22","365208052",#0d0887,"3969034.649","463658.1724","3","128.5974604","35.8648621",,,POINT (463658.1724364525 3969034.64895964)
"21",Point (128.59685179999999605 35.86497380000000135),"23","2312568485",#0d0887,"3969047.264","463603.278","3","128.5968518","35.8649738",,,POINT (463603.2779794161 3969047.2642788524)
"22",Point (128.59789200000000164 35.86478300000000274),"24","2312568482",#0d0887,"3969025.715","463697.102","3","128.597892","35.864783",,,POINT (463697.102005604 3969025.715437906)
"23",Point (128.5975793000000067 35.86506930000000182),"25","370482755",#0d0887,"3969057.586","463669.0015","3","128.5975793","35.8650693",,,POINT (463669.0015153264 3969057.5859505166)
"49",Point (128.61687230000001136 35.85156020000000154),"71","365366403",#0d0887,"3967552.258","465404.9348","4","128.6168723","35.8515602",,,POINT (465404.9348104045 3967552.258390722)
"53",Point (128.61842419999999265 35.85145949999999715),"75","369782194",#0d0887,"3967540.542","465545.0229","4","128.6184242","35.8514595",,,POINT (465545.02293924417 3967540.541779076)
"59",Point (128.61680020000000013 35.84448139999999938),"81","365366410",#0d0887,"3966767.156","465395.3492","3","128.6168002","35.8444814",,,POINT (465395.34917147894 3966767.1558514424)
"62",Point (128.61739049999999907 35.84444489999999917),"84","3016437129",#0d0887,"3966762.899","465448.6403","4","128.6173905","35.8444449",,,POINT (465448.6403145122 3966762.898927202)
"70",Point (128.61681179999999358 35.83340609999999771),"92","6944139663",#0d0887,"3965538.763","465391.5865","3","128.6168118","35.8334061",,,POINT (465391.5864857798 3965538.7633966794)
"131",Point (128.59736159999999927 35.87061380000000099),"163","365381388",#0d0887,"3969672.624","463651.8793","4","128.5973616","35.8706138",,,POINT (463651.8793120274 3969672.6241799565)
"132",Point (128.59734000000000265 35.87051519999999982),"165","8246655218",#0d0887,"3969661.696","463649.8843","4","128.59734","35.8705152",,,POINT (463649.88433038094 3969661.696179337)
"133",Point (128.59738609999999426 35.87070820000000282),"166","8246655221",#0d0887,"3969683.085","463654.1342","4","128.5973861","35.8707082",,,POINT (463654.1341689456 3969683.08526822)
"134",Point (128.5986184999999864 35.87035579999999868),"167","370483210",#0d0887,"3969643.542","463765.2289","4","128.5986185","35.8703558",,,POINT (463765.2288923153 3969643.5420999886)
"135",Point (128.59980250000000979 35.86823410000000223),"168","365381410",#0d0887,"3969407.78","463871.1521","8","128.5998025","35.8682341",crossing,,POINT (463871.1520954499 3969407.7797636404)
"136",Point (128.59966719999999896 35.86826380000000114),"169","5132758641",#0d0887,"3969411.124","463858.951","4","128.5996672","35.8682638",crossing,,POINT (463858.95096679556 3969411.1238787556)
"137",Point (128.59986029999998891 35.86832689999999957),"170","4901458110",#0d0887,"3969418.051","463876.4123","3","128.5998603","35.8683269",,,POINT (463876.41228240554 3969418.0511392234)
