field_1,wkt_geom,field_1_1,osmid,color,y,x,street_cou,lon,lat,highway,ref,geometry
"19",Point (128.60347719999998617 35.86294269999999784),"21","2537823863",#0d0887,"3968819.543","464200.517","3","128.6034772","35.8629427",,,POINT (464200.51699477376 3968819.5434161606)
"20",Point (128.61769659999998794 35.86011289999999718),"46","365366227",#0d0887,"3968500.571","465483.0741","4","128.6176966","35.8601129",,,POINT (465483.0740642458 3968500.570500669)
"21",Point (128.61765180000000441 35.85974619999999646),"47","7117301010",#0d0887,"3968459.915","465478.8702","4","128.6176518","35.8597462",,,POINT (465478.87020242406 3968459.914586555)
"22",Point (128.61778480000000968 35.8610443000000032),"48","366657636",#0d0887,"3968603.844","465491.4411","4","128.6177848","35.8610443",,,POINT (465491.44110234536 3968603.843574529)
"23",Point (128.61685660000000553 35.86036330000000305),"49","365366449",#0d0887,"3968528.64","465407.3416","3","128.6168566","35.8603633",,,POINT (465407.3416463097 3968528.639846021)
"24",Point (128.61823549999999727 35.85998310000000089),"50","3790353817",#0d0887,"3968485.984","465531.6736","3","128.6182355","35.8599831",,,POINT (465531.6736199852 3968485.9839652088)
"30",Point (128.61416510000000812 35.86029649999999691),"56","365366375",#0d0887,"3968522.186","465164.3053","4","128.6141651","35.8602965",,,POINT (465164.3052727505 3968522.186181137)
"31",Point (128.61420000000001096 35.86086300000000193),"57","3016437997",#0d0887,"3968585.006","465167.7041","3","128.6142","35.860863",,,POINT (465167.70413742523 3968585.0058701616)
"32",Point (128.61532040000000165 35.86032990000000353),"58","365366445",#0d0887,"3968525.48","465268.6284","4","128.6153204","35.8603299",,,POINT (465268.6283694009 3968525.479792195)
"33",Point (128.61413920000001099 35.8598984999999999),"59","7117301015",#0d0887,"3968478.052","465161.7927","4","128.6141392","35.8598985",,,POINT (465161.7926858474 3968478.052102935)
"34",Point (128.61260659999999234 35.86020620000000036),"60","365380154",#0d0887,"3968512.727","465023.5534","3","128.6126066","35.8602062",,,POINT (465023.5533664758 3968512.726978117)
"35",Point (128.61426520000000551 35.8614219000000034),"61","365366376",#0d0887,"3968646.972","465173.8353","4","128.6142652","35.8614219",,,POINT (465173.83529212343 3968646.9718384393)
"36",Point (128.61543679999999767 35.86134349999999671),"62","3016438002",#0d0887,"3968637.86","465279.5798","3","128.6154368","35.8613435",,,POINT (465279.57980866113 3968637.859709113)
"41",Point (128.61754790000000526 35.85880159999999961),"67","365366392",#0d0887,"3968355.183","465469.0797","3","128.6175479","35.8588016",,,POINT (465469.07965040853 3968355.1830388205)
"42",Point (128.61762980000000312 35.85956230000000033),"68","7117301014",#0d0887,"3968439.525","465476.8041","4","128.6176298","35.8595623",,,POINT (465476.8041346988 3968439.525487842)
"43",Point (128.61539099999998825 35.86084629999999862),"95","365366429",#0d0887,"3968582.73","465275.2279","3","128.615391","35.8608463",,,POINT (465275.22785898106 3968582.7301073475)
"46",Point (128.61674479999999221 35.86126550000000179),"98","365366441",#0d0887,"3968628.745","465397.6397","3","128.6167448","35.8612655",,,POINT (465397.6396936664 3968628.744945933)
"47",Point (128.61677520000000641 35.86109439999999893),"99","366657635",#0d0887,"3968609.757","465400.31","3","128.6167752","35.8610944",,,POINT (465400.31002425245 3968609.7570052384)
"49",Point (128.61640909999999849 35.86035319999999871),"101","366657191",#0d0887,"3968527.678","465366.9339","3","128.6164091","35.8603532",,,POINT (465366.93387435126 3968527.6779971784)
"50",Point (128.61528989999999339 35.85984049999999712),"102","7117301011",#0d0887,"3968471.21","465265.6611","3","128.6152899","35.8598405",,,POINT (465265.66110817186 3968471.2098904205)
"74",Point (128.61227189999999609 35.84072789999999742),"126","365377320",#0d0887,"3966352.457","464984.7718","4","128.6122719","35.8407279",,,POINT (464984.77183811984 3966352.456788421)
"75",Point (128.61300380000000132 35.84067139999999796),"127","4641936557",#0d0887,"3966345.929","465050.8443","3","128.6130038","35.8406714",,,POINT (465050.8443249373 3966345.928574094)
"77",Point (128.61235130000000026 35.84147829999999857),"129","3019481640",#0d0887,"3966435.657","464992.2721","3","128.6123513","35.8414783",,,POINT (464992.27211003116 3966435.6571038663)
"78",Point (128.61215910000001372 35.83953089999999975),"130","4641939322",#0d0887,"3966219.735","464974.0588","3","128.6121591","35.8395309",,,POINT (464974.0587565054 3966219.7349404525)
"83",Point (128.61288250000001199 35.84700440000000299),"141","365377376",#0d0887,"3967048.381","465042.6689","4","128.6128825","35.8470044",,,POINT (465042.66890111356 3967048.3809501734)
"84",Point (128.61350859999998875 35.84697830000000351),"142","2137643255",#0d0887,"3967045.263","465099.1956","3","128.6135086","35.8469783",,,POINT (465099.1955715764 3967045.262602269)
"85",Point (128.61161509999999453 35.84704740000000101),"143","3019481664",#0d0887,"3967053.604","464928.239","3","128.6116151","35.8470474",,,POINT (464928.2390264871 3967053.6037848224)
"86",Point (128.61279909999998949 35.84620600000000223),"144","3019481666",#0d0887,"3966959.858","465034.7873","3","128.6127991","35.846206",,,POINT (465034.7872533507 3966959.8581489306)
"87",Point (128.61294989999998961 35.84776779999999974),"145","3013600852",#0d0887,"3967133.028","465049.0902","3","128.6129499","35.8477678",,,POINT (465049.0902288225 3967133.0275438437)
"93",Point (128.61170770000001085 35.8347412000000034),"155","365377416",#0d0887,"3965688.659","464931.1847","4","128.6117077","35.8347412",,,POINT (464931.18471074174 3965688.6594392112)
"94",Point (128.6115647000000024 35.83393650000000008),"156","3738923079",#0d0887,"3965599.46","464917.9153","3","128.6115647","35.8339365",,,POINT (464917.9152872428 3965599.459515854)
"95",Point (128.61177309999999352 35.83543530000000032),"157","4641931464",#0d0887,"3965765.62","464937.3968","3","128.6117731","35.8354353",,,POINT (464937.39677044336 3965765.620283275)
"96",Point (128.61242609999999331 35.83478290000000044),"158","3738923083",#0d0887,"3965693.027","464996.086","3","128.6124261","35.8347829",,,POINT (464996.0860007355 3965693.0272906865)
"100",Point (128.61249490000000151 35.86019660000000187),"162","3790353826",#0d0887,"3968511.702","465013.4641","3","128.6124949","35.8601966",,,POINT (465013.46408201696 3968511.702166527)
"111",Point (128.62155670000001351 35.86277840000000339),"217","365399780",#0d0887,"3968794.853","465832.7355","3","128.6215567","35.8627784",,,POINT (465832.735473889 3968794.853195581)
"112",Point (128.62213610000000585 35.86235239999999891),"218","365399788",#0d0887,"3968747.402","465884.8635","3","128.6221361","35.8623524",,,POINT (465884.8635405259 3968747.402060416)
"113",Point (128.62255170000000248 35.86322549999999865),"219","3793705866",#0d0887,"3968844.095","465922.7596","3","128.6225517","35.8632255",,,POINT (465922.7595629642 3968844.095166103)
"114",Point (128.62176640000001271 35.86182130000000257),"220","3790353809",#0d0887,"3968688.625","465851.2575","3","128.6217664","35.8618213",,,POINT (465851.2575089914 3968688.6252821754)
"115",Point (128.62243670000000861 35.86202049999999986),"221","4185145894",#0d0887,"3968710.485","465911.861","3","128.6224367","35.8620205",,,POINT (465911.86097771657 3968710.48527684)
"118",Point (128.62116760000000681 35.86547939999999812),"253","3793705881",#0d0887,"3969094.565","465798.7664","3","128.6211676","35.8654794",,,POINT (465798.76639398164 3969094.5648611686)
"119",Point (128.62404050000000666 35.86720410000000214),"254","365781473",#0d0887,"3969284.855","466058.8703","3","128.6240405","35.8672041",,,POINT (466058.8702723206 3969284.85539155)
"120",Point (128.62300590000000966 35.86730409999999836),"255","414665157",#0d0887,"3969296.306","465965.5103","3","128.6230059","35.8673041",,,POINT (465965.5102771035 3969296.3062765924)
"121",Point (128.62405810000001338 35.86625659999999982),"256","6944139629",#0d0887,"3969179.759","466060.0552","3","128.6240581","35.8662566",,,POINT (466060.0551758343 3969179.759305668)
"122",Point (128.62502589999999714 35.8671053999999998),"257","4185227862",#0d0887,"3969273.567","466147.7893","3","128.6250259","35.8671054",,,POINT (466147.7893147899 3969273.566713467)
"130",Point (128.60267400000000748 35.84897639999999797),"326","2108385120",#0d0887,"3967270.796","464121.7086","1","128.602674","35.8489764",,,POINT (464121.7086305736 3967270.7963647423)
"131",Point (128.60101180000000909 35.84777830000000165),"327","2569233923",#0d0887,"3967138.523","463971.0703","3","128.6010118","35.8477783",,,POINT (463971.07029429515 3967138.522772718)
"140",Point (128.61391629999999964 35.85700920000000025),"337","369783560",#0d0887,"3968157.671","465140.4027","3","128.6139163","35.8570092",,,POINT (465140.4026579137 3968157.6711884737)
"141",Point (128.61441740000000777 35.85439219999999949),"345","366657171",#0d0887,"3967867.234","465184.5031","4","128.6144174","35.8543922",,,POINT (465184.50313937076 3967867.234072118)
"142",Point (128.61575289999998972 35.85432209999999742),"346","366657189",#0d0887,"3967858.985","465305.0598","4","128.6157529","35.8543221",,,POINT (465305.05977495876 3967858.9845812093)
"143",Point (128.6136451000000136 35.85443680000000199),"347","414665221",#0d0887,"3967872.456","465114.7889","4","128.6136451","35.8544368",,,POINT (465114.7888845555 3967872.4559328863)
"144",Point (128.61435230000000729 35.8537967999999978),"348","3110969196",#0d0887,"3967801.22","465178.3647","4","128.6143523","35.8537968",,,POINT (465178.364672422 3967801.219816112)
"145",Point (128.61443170000001146 35.85452500000000242),"349","7105477688",#0d0887,"3967881.958","465185.8524","4","128.6144317","35.854525",,,POINT (465185.8523965257 3967881.958191475)
"146",Point (128.61389410000001021 35.85677290000000283),"350","366657175",#0d0887,"3968131.47","465138.2947","3","128.6138941","35.8567729",,,POINT (465138.2947481399 3968131.470414314)
"147",Point (128.61383770000000482 35.85622109999999907),"351","366657179",#0d0887,"3968070.289","465132.9607","3","128.6138377","35.8562211",,,POINT (465132.96071699547 3968070.2888577404)
"148",Point (128.61377889999999979 35.8556752000000003),"353","366657184",#0d0887,"3968009.763","465127.4125","3","128.6137789","35.8556752",,,POINT (465127.41250101343 3968009.7625502725)
"149",Point (128.61461410000001138 35.85616999999999877),"354","2456943915",#0d0887,"3968064.345","465203.0408","4","128.6146141","35.85617",,,POINT (465203.0407728578 3968064.344735725)
"150",Point (128.61375200000000518 35.85538240000000343),"359","369783585",#0d0887,"3967977.297","465124.8554","3","128.613752","35.8553824",,,POINT (465124.8554046271 3967977.296890493)
"151",Point (128.61455770000000598 35.85564039999999864),"360","2456943913",#0d0887,"3968005.625","465197.7169","4","128.6145577","35.8556404",,,POINT (465197.716859907 3968005.6254120944)
"152",Point (128.61372610000000805 35.85512849999999929),"362","366657186",#0d0887,"3967949.145","465122.4056","3","128.6137261","35.8551285",,,POINT (465122.4056219522 3967949.1453816397)
"153",Point (128.61366169999999443 35.85457889999999992),"363","7105477687",#0d0887,"3967888.211","465116.35","4","128.6136617","35.8545789",,,POINT (465116.3500062671 3967888.2107106764)
"154",Point (128.61449279999999362 35.85509489999999744),"364","4309947170",#0d0887,"3967945.146","465191.6184","4","128.6144928","35.8550949",,,POINT (465191.61844281247 3967945.1456086533)
"155",Point (128.61576260000001071 35.85443190000000158),"370","7105477689",#0d0887,"3967871.159","465305.9835","4","128.6157626","35.8544319",,,POINT (465305.98346102063 3967871.1593564367)
"156",Point (128.6163699999999892 35.85979119999999654),"371","7117301012",#0d0887,"3968465.359","465363.1592","3","128.61637","35.8597912",,,POINT (465363.1591621069 3968465.358842393)
"157",Point (128.61716920000000641 35.86107069999999908),"389","366657637",#0d0887,"3968606.989","465435.8724","3","128.6171692","35.8610707",,,POINT (465435.8724382058 3968606.989056524)
"158",Point (128.6183460000000025 35.86100040000000178),"390","3790353816",#0d0887,"3968598.777","465542.0907","3","128.618346","35.8610004",,,POINT (465542.0906623386 3968598.7766330885)
"163",Point (128.61227349999998637 35.85569019999999796),"395","369783238",#0d0887,"3968011.964","464991.4932","4","128.6122735","35.8556902",,,POINT (464991.4932062683 3968011.9639869714)
"166",Point (128.6111046999999985 35.85825549999999851),"398","3790353834",#0d0887,"3968296.907","464887.0909","3","128.6111047","35.8582555",,,POINT (464887.0909399554 3968296.907487349)
"167",Point (128.61217439999998646 35.85692219999999963),"399","366660119",#0d0887,"3968148.644","464983.087","3","128.6121744","35.8569222",,,POINT (464983.08703662304 3968148.643981877)
"168",Point (128.61149480000000267 35.86005329999999702),"400","366659255",#0d0887,"3968496.167","464923.1048","3","128.6114948","35.8600533",,,POINT (464923.1048353285 3968496.1665750216)
"169",Point (128.6111611000000039 35.85854849999999772),"401","3790353833",#0d0887,"3968329.385","464892.3124","3","128.6111611","35.8585485",,,POINT (464892.31244930497 3968329.384693064)
"170",Point (128.61347580000000335 35.8597370999999967),"402","366660138",#0d0887,"3968460.387","465101.8253","3","128.6134758","35.8597371",,,POINT (465101.8252688013 3968460.387280587)
"172",Point (128.6122436999999934 35.85712480000000113),"404","369783438",#0d0887,"3968171.09","464989.4333","3","128.6122437","35.8571248",,,POINT (464989.43327021314 3968171.090102573)
"173",Point (128.61276509999999007 35.85838280000000111),"405","369783367",#0d0887,"3968310.432","465037.0632","3","128.6127651","35.8583828",,,POINT (465037.06316843507 3968310.4318826078)
"174",Point (128.61411400000000071 35.85970840000000237),"406","7117301033",#0d0887,"3968456.977","465159.4343","4","128.614114","35.8597084",,,POINT (465159.43425529107 3968456.9765528576)
"175",Point (128.62169529999999895 35.86437899999999956),"472","368751351",#0d0887,"3968972.332","465845.9356","3","128.6216953","35.864379",,,POINT (465845.9355771149 3968972.331900111)
"176",Point (128.62257829999998648 35.86429890000000142),"473","4836086115",#0d0887,"3968963.14","465925.6206","3","128.6225783","35.8642989",,,POINT (465925.6205672135 3968963.139757364)
"177",Point (128.62176999999999794 35.8654451000000023),"474","3793705882",#0d0887,"3969090.55","465853.137","3","128.62177","35.8654451",,,POINT (465853.13699107314 3969090.5500360667)
"180",Point (128.60659000000001129 35.85791780000000273),"485","369750671",#0d0887,"3968261.082","464479.3112","1","128.60659","35.8579178",,,POINT (464479.3112036517 3968261.0823942428)
"190",Point (128.61329900000001203 35.8511408999999972),"554","369782180",#0d0887,"3967507.022","465082.0932","3","128.613299","35.8511409",,,POINT (465082.0931813371 3967507.022278335)
"191",Point (128.61321720000000823 35.85046260000000018),"555","3013600848",#0d0887,"3967431.819","465074.4094","3","128.6132172","35.8504626",,,POINT (465074.40940963285 3967431.8194248574)
"192",Point (128.61343049999999266 35.85233920000000296),"558","369782487",#0d0887,"3967639.882","465094.4925","3","128.6134305","35.8523392",,,POINT (465094.492484171 3967639.882003498)
"193",Point (128.61360310000000595 35.85385840000000002),"613","369782468",#0d0887,"3967808.319","465110.7431","3","128.6136031","35.8538584",,,POINT (465110.74314499757 3967808.3189976425)
"194",Point (128.61353579999999397 35.85334650000000067),"614","369782476",#0d0887,"3967751.567","465104.442","3","128.6135358","35.8533465",,,POINT (465104.4420317718 3967751.5667895633)
"195",Point (128.61348449999999843 35.85284529999999847),"615","369782483",#0d0887,"3967695.996","465099.5903","3","128.6134845","35.8528453",,,POINT (465099.59025919053 3967695.9956474714)
"196",Point (128.61431699999999978 35.85329759999999766),"616","3110969194",#0d0887,"3967745.865","465174.959","4","128.614317","35.8532976",,,POINT (465174.9589808191 3967745.8647621074)
"201",Point (128.61031829999998877 35.85865259999999921),"623","369783352",#0d0887,"3968341.234","464816.2629","3","128.6103183","35.8586526",,,POINT (464816.26291716966 3968341.233563172)
"202",Point (128.61271220000000426 35.85807580000000172),"624","3790353835",#0d0887,"3968276.401","465032.152","3","128.6127122","35.8580758",,,POINT (465032.1520470242 3968276.4005658044)
"234",Point (128.60063560000000393 35.83353189999999699),"748","414665201",#0d0887,"3965558.557","463930.65","4","128.6006356","35.8335319",,,POINT (463930.650003208 3965558.557230367)
"235",Point (128.60661999999999239 35.87254719999999963),"785","370404531",#0d0887,"3969883.661","464488.5469","3","128.60662","35.8725472",,,POINT (464488.5469074533 3969883.661393766)
"236",Point (128.60714730000000827 35.87259790000000237),"786","7713250260",#0d0887,"3969889.093","464536.1705","3","128.6071473","35.8725979",,,POINT (464536.17050303094 3969889.093302268)
"237",Point (128.60627089999999839 35.87252949999999885),"787","436872450",#0d0887,"3969881.825","464457.0247","4","128.6062709","35.8725295",,,POINT (464457.0246649321 3969881.8250800557)
"238",Point (128.6066039000000103 35.87301680000000204),"788","3874636653",#0d0887,"3969935.752","464487.3031","3","128.6066039","35.8730168",,,POINT (464487.30307313165 3969935.752027436)
"239",Point (128.60118810000000167 35.8729186999999996),"916","370484628",#0d0887,"3969926.852","463998.3605","4","128.6011881","35.8729187",,,POINT (463998.3605073869 3969926.8520784164)
"240",Point (128.60141569999998978 35.87371540000000181),"917","414665125",#0d0887,"3970015.133","464019.2668","4","128.6014157","35.8737154",,,POINT (464019.2667987413 3970015.132779626)
"241",Point (128.60258680000001164 35.87272300000000058),"919","370484630",#0d0887,"3969904.632","464124.5367","4","128.6025868","35.872723",,,POINT (464124.5366920038 3969904.6322677736)
"242",Point (128.60320340000001238 35.87255280000000113),"921","370484631",#0d0887,"3969885.529","464180.1224","4","128.6032034","35.8725528",,,POINT (464180.12235703145 3969885.528790629)
"243",Point (128.60281050000000391 35.87338429999999789),"922","6254657178",#0d0887,"3969977.897","464145.0287","3","128.6028105","35.8733843",,,POINT (464145.02869918884 3969977.8970497428)
"244",Point (128.60376139999999623 35.87275559999999786),"924","6254657176",#0d0887,"3969907.818","464230.5859","3","128.6037614","35.8727556",,,POINT (464230.58590030205 3969907.817687068)
"245",Point (128.60378959999999893 35.87148260000000022),"925","2298176541",#0d0887,"3969766.615","464232.5595","4","128.6037896","35.8714826",,,POINT (464232.5594544846 3969766.6150103426)
"252",Point (128.60370950000000789 35.85513449999999835),"938","370486511",#0d0887,"3967953.429","464217.981","3","128.6037095","35.8551345",,,POINT (464217.98103475285 3967953.4287133953)
"254",Point (128.60362739999999349 35.85513939999999877),"940","1362695851",#0d0887,"3967954.002","464210.5702","3","128.6036274","35.8551394",,,POINT (464210.57019380725 3967954.0022220463)
"262",Point (128.60432180000000812 35.87054080000000056),"1019","420450736",#0d0887,"3969661.963","464280.1807","4","128.6043218","35.8705408",,,POINT (464280.18073698494 3969661.9625353278)
"263",Point (128.60448949999999968 35.87252569999999707),"1020","414665123",#0d0887,"3969882.053","464296.2104","4","128.6044895","35.8725257",,,POINT (464296.2104280635 3969882.052646253)
"264",Point (128.60446440000001189 35.87156989999999723),"1021","6245137441",#0d0887,"3969776.051","464293.5157","3","128.6044644","35.8715699",,,POINT (464293.5157276196 3969776.0510869813)
"265",Point (128.60370449999999209 35.87284979999999734),"1022","675619319",#0d0887,"3969918.287","464225.4917","3","128.6037045","35.8728498",,,POINT (464225.4917214811 3969918.2865187027)
"266",Point (128.60523820000000228 35.87248459999999994),"1023","3874636644",#0d0887,"3969877.221","464363.7795","4","128.6052382","35.8724846",,,POINT (464363.77951115766 3969877.2209797385)
"267",Point (128.60463169999999877 35.87305340000000342),"1024","7710165809",#0d0887,"3969940.53","464309.2839","3","128.6046317","35.8730534",,,POINT (464309.2839371308 3969940.529570409)
"268",Point (128.60133529999998814 35.8756914000000009),"1025","3110969633",#0d0887,"3970234.327","464012.9026","4","128.6013353","35.8756914",,,POINT (464012.9026037179 3970234.326746007)
"273",Point (128.62319310000000883 35.86824909999999988),"1056","4185227860",#0d0887,"3969401.054","465982.8144","3","128.6231931","35.8682491",,,POINT (465982.8143832584 3969401.0538551654)
"274",Point (128.62267049999999813 35.8673365000000004),"1057","4185233900",#0d0887,"3969300.017","465935.2446","3","128.6226705","35.8673365",,,POINT (465935.2445713726 3969300.016641578)
"279",Point (128.60247029999999313 35.85519519999999716),"1077","414665172",#0d0887,"3967960.615","464106.1175","4","128.6024703","35.8551952",,,POINT (464106.11748996086 3967960.6151388246)
"280",Point (128.60244309999998791 35.85531919999999673),"1078","7105462567",#0d0887,"3967974.378","464103.7174","4","128.6024431","35.8553192",,,POINT (464103.7174235192 3967974.3783053732)
"281",Point (128.60259389999998803 35.85472239999999999),"1079","1356044227",#0d0887,"3967908.13","464117.0646","4","128.6025939","35.8547224",,,POINT (464117.0646295647 3967908.1302295956)
"282",Point (128.60063999999999851 35.83344890000000049),"1109","5305241475",#0d0887,"3965549.35","463931.0098","4","128.60064","35.8334489",,,POINT (463931.00983456185 3965549.349880377)
"283",Point (128.60020449999998959 35.83524529999999686),"1110","436882969",#0d0887,"3965748.754","463892.4905","4","128.6002045","35.8352453",,,POINT (463892.4905230411 3965748.753520291)
"287",Point (128.59749239999999304 35.8852369999999965),"1126","6172722784",#0d0887,"3971294.482","463670.365","4","128.5974924","35.885237",crossing,,POINT (463670.36501969444 3971294.481783597)
"290",Point (128.58837719999999649 35.8913708999999983),"1145","9510381822",#0d0887,"3971978.24","462850.5037","3","128.5883772","35.8913709",,,POINT (462850.5037317073 3971978.2400887585)
"292",Point (128.59031010000001061 35.89084290000000266),"1147","5524601817",#0d0887,"3971918.945","463024.7059","3","128.5903101","35.8908429",,,POINT (463024.70593318215 3971918.944750154)
"298",Point (128.60444350000000213 35.87141849999999721),"1343","3874205693",#0d0887,"3969759.266","464291.5611","4","128.6044435","35.8714185",,,POINT (464291.56106434116 3969759.2664801804)
"299",Point (128.61062759999998661 35.87972950000000338),"1351","420450753",#0d0887,"3970678.825","464853.498","4","128.6106276","35.8797295",,,POINT (464853.49795848504 3970678.8246598733)
"300",Point (128.61142469999998639 35.87921810000000278),"1352","4636791640",#0d0887,"3970621.817","464925.2227","4","128.6114247","35.8792181",,,POINT (464925.2226782716 3970621.817369672)
"301",Point (128.60901609999999096 35.88064620000000104),"1353","436837250",#0d0887,"3970781.079","464708.4427","4","128.6090161","35.8806462",,,POINT (464708.44266600657 3970781.0793774077)
"303",Point (128.61170419999999126 35.88057249999999954),"1355","436816063",#0d0887,"3970771.938","464951.0486","3","128.6117042","35.8805725",,,POINT (464951.04856561514 3970771.937959648)
"308",Point (128.62341810000000919 35.86938529999999759),"1360","420450765",#0d0887,"3969526.995","466003.6122","4","128.6234181","35.8693853",,,POINT (466003.61223230226 3969526.9948953376)
"309",Point (128.62420320000001084 35.86910139999999814),"1362","3792817401",#0d0887,"3969495.234","466074.3674","3","128.6242032","35.8691014",,,POINT (466074.3673947742 3969495.23403505)
"310",Point (128.6224335999999937 35.86978380000000044),"1363","4836086087",#0d0887,"3969571.536","465914.9056","3","128.6224336","35.8697838",,,POINT (465914.9055586397 3969571.536443101)
"311",Point (128.60971960000000536 35.86936440000000204),"1419","420450847",#0d0887,"3969529.526","464766.9483","3","128.6097196","35.8693644",,,POINT (464766.9483356267 3969529.5260399007)
