name,month,H_M_10,H_M_20,H_M_30,H_M_40,H_M_50,H_M_60,H_M_70,H_W_10,H_W_20,H_W_30,H_W_40,H_W_50,H_W_60,H_W_70,W_M_10,W_M_20,W_M_30,W_M_40,W_M_50,W_M_60,W_M_70,W_W_10,W_W_20,W_W_30,W_W_40,W_W_50,W_W_60,W_W_70,V_M_10,V_M_20,V_M_30,V_M_40,V_M_50,V_M_60,V_M_70,V_W_10,V_W_20,V_W_30,V_W_40,V_W_50,V_W_60,V_W_70
가창,1,8898.580000000002,7940.260000000005,5948.9000000000015,7058.100000000002,8948.770000000004,7794.540000000002,4893.229999999996,7203.8499999999985,5797.650000000002,4971.24,7509.959999999996,9922.970000000003,8291.12,6462.739999999993,277.67999999999995,1941.1900000000007,4496.669999999999,6774.719999999995,7483.279999999998,3939.2799999999957,894.1199999999993,340.58000000000015,1278.1899999999996,2077.06,3225.099999999997,4099.059999999997,1536.3000000000004,535.1599999999999,2558.2200000000003,3188.319999999998,4257.250000000002,5148.75,5402.010000000002,3287.2400000000002,1261.3999999999992,2749.07,2217.9599999999996,2659.7999999999997,3630.380000000001,3900.159999999999,2366.6200000000003,1299.3199999999995
가창,2,8370.74,7460.790000000002,5209.929999999998,6728.240000000003,8431.970000000003,7039.7,4415.350000000001,6863.340000000003,5175.67,4575.269999999997,6970.390000000005,9205.330000000005,7606.079999999999,5906.290000000004,257.2900000000001,1881.7000000000005,4141.07,6275.230000000007,6989.880000000003,3628.369999999999,820.5800000000006,659.1200000000003,1224.5900000000004,1954.7700000000004,2998.5200000000013,3766.0499999999993,1279.5300000000009,417.7899999999999,2470.55,3080.569999999999,4077.3100000000013,4948.200000000002,5078.980000000005,3057.300000000001,1265.8299999999997,2650.970000000001,2128.9199999999983,2676.789999999999,3587.280000000005,3628.9699999999993,2235.460000000001,1248.3200000000004
가창,3,7920.06,7894.649999999998,5596.22,6997.440000000001,8718.470000000003,6860.220000000001,4247.709999999999,6621.259999999999,5277.569999999997,5136.719999999998,7499.770000000004,9418.52,7383.030000000004,6052.169999999998,316.6300000000001,2247.7800000000007,5262.539999999995,7924.410000000003,8778.050000000003,4263.2699999999995,984.7899999999995,2780.2399999999943,1452.740000000001,2517.9699999999993,3794.79,4778.599999999998,1658.8299999999986,569.6400000000001,2271.59,3081.8899999999962,4148.949999999998,5402.099999999999,5613.36,3367.0900000000015,1410.3499999999983,2624.1099999999997,2293.080000000001,2859.8699999999985,3891.1300000000024,3984.1299999999997,2446.999999999998,1398.0399999999995
가창,4,7930.060000000001,7748.470000000002,5527.820000000003,7039.68,8725.500000000004,6789.07,4127.7300000000005,6510.84,5183.969999999999,4906.340000000003,7446.309999999998,9383.960000000008,7263.890000000006,5976.409999999999,490.6000000000001,2216.6699999999996,5488.260000000002,7903.709999999996,8957.860000000002,4321.160000000003,909.7400000000001,2815.5299999999957,1545.8300000000015,2532.010000000002,3896.2299999999973,4818.100000000002,1651.0899999999972,499.1799999999999,2252.89,3303.6699999999987,4470.379999999997,5795.38,5949.490000000001,3576.1199999999994,1456.8499999999997,2597.0399999999986,2344.6699999999987,2892.9800000000005,3982.690000000001,4179.100000000001,2514.9099999999985,1428.559999999999
가창,5,8311.979999999996,8209.420000000002,5741.259999999998,7258.880000000002,9392.33,7394.649999999998,4372.410000000001,6900.200000000005,5448.590000000003,5088.999999999998,7778.060000000005,9817.540000000005,7809.9900000000025,6180.139999999994,314.5699999999998,2089.5500000000015,5139.070000000001,7442.099999999996,8596.370000000006,4185.0399999999945,904.2900000000005,2550.5499999999984,1432.0699999999995,2460.0099999999998,3671.7600000000016,4802.32,1599.2799999999995,492.13999999999993,2675.0900000000015,3719.960000000001,4804.759999999999,5914.209999999996,6041.199999999998,3665.059999999999,1495.77,2965.5199999999995,2653.7899999999995,3252.5700000000006,4396.450000000001,4447.13,2739.7199999999984,1471.2
가창,6,7572.580000000003,7681.310000000009,5374.080000000002,6902.28,8601.050000000007,6787.140000000001,4093.500000000001,6324.629999999997,4956.989999999999,4751.240000000002,7050.220000000002,9301.009999999997,7117.219999999999,5869.730000000001,472.31999999999994,2165.690000000001,5158.81,7428.490000000001,8340.689999999997,4028.6499999999974,934.6699999999997,2739.8499999999967,1401.1300000000003,2572.059999999999,3565.5600000000018,4645.4299999999985,1581.4899999999993,538.2899999999996,2170.740000000001,3419.109999999999,4469.670000000001,5520.959999999998,5663.129999999994,3382.12,1316.0000000000002,2566.8799999999987,2519.279999999998,3127.700000000001,4070.2499999999973,4462.76,2756.8700000000017,1372.6399999999999
가창,7,8643.920000000006,8070.029999999999,5784.180000000002,7193.080000000002,9163.100000000004,7388.450000000005,4511.030000000001,6942.760000000003,5295.530000000002,5058.069999999997,7592.8799999999965,9850.290000000003,7598.669999999996,6172.2699999999995,277.0899999999999,2437.3700000000003,5190.589999999996,7605.740000000001,8545.080000000002,4189.46,958.9799999999996,1490.2800000000013,1516.1500000000005,2641.7799999999993,3647.5400000000004,4684.190000000001,1658.1399999999983,609.13,2419.479999999999,3598.9800000000014,4406.52,5532.910000000002,5921.999999999996,3689.2200000000043,1431.320000000001,2972.0399999999995,2557.9200000000005,2926.9699999999993,3942.490000000001,4446.600000000002,2864.3000000000015,1441.78
가창,8,8683.690000000006,7924.22,5774.03,7223.110000000002,9153.920000000006,7508.9999999999945,4612.990000000002,7086.760000000004,5361.2699999999995,5015.28,7762.700000000002,9940.720000000001,7825.730000000004,6188.700000000007,229.67000000000013,2062.7299999999996,4485.059999999997,6718.289999999995,7607.200000000003,3776.819999999997,765.8499999999999,1578.939999999999,1310.7800000000004,2309.509999999998,3190.850000000002,4111.860000000002,1472.2399999999998,422.68000000000006,2355.98,3496.43,4241.559999999998,5189.390000000004,5377.720000000007,3193.729999999999,1275.9900000000007,2546.9100000000003,2344.380000000001,2815.170000000001,3687.5399999999995,3811.4799999999996,2365.2099999999996,1227.3800000000003
가창,9,7808.680000000001,7545.499999999999,5562.120000000003,6930.390000000001,8798.640000000009,7262.009999999996,4338.75,6281.590000000007,5142.41,4874.27,7242.66,9492.110000000004,7599.429999999999,6063.739999999995,282.54999999999995,1879.4100000000008,4466.000000000001,6413.569999999996,7311.539999999993,3629.6900000000023,808.7500000000008,1977.7300000000025,1242.750000000001,2324.5700000000006,3196.180000000001,4006.299999999999,1443.6100000000017,409.53999999999996,2421.92,3544.530000000004,4176.9800000000005,5147.5199999999995,5016.2400000000025,3019.2299999999987,1202.5499999999993,2492.7799999999984,2458.9799999999996,2945.41,3749.6500000000033,3637.8099999999995,2293.8700000000003,1173.1899999999996
가창,10,8172.620000000002,7745.97,5757.139999999995,7239.240000000003,8963.980000000009,7354.900000000004,4559.950000000001,6721.640000000002,5364.959999999997,5103.779999999998,7486.710000000003,9809.450000000003,7867.3,6183.310000000004,279.71,2048.650000000001,4688.360000000001,7053.149999999997,8120.880000000003,3994.7900000000022,832.79,1774.0500000000018,1377.8700000000008,2310.6499999999996,3412.0400000000013,4399.740000000002,1579.8499999999988,455.0700000000001,2577.829999999999,4047.7799999999966,4771.45,5776.32,5787.369999999998,3567.929999999999,1395.9700000000005,2683.0499999999997,2882.8699999999994,3162.2899999999977,4173.289999999999,4223.990000000002,2678.419999999999,1296.4499999999994
가창,11,7698.220000000005,7000.570000000001,5345.719999999999,6715.570000000003,8134.910000000004,6677.129999999996,4124.459999999997,6529.570000000002,4778.8799999999965,4762.690000000001,6981.219999999999,8959.609999999999,6937.960000000001,5965.120000000003,434.4100000000002,2363.9199999999987,4938.690000000001,7275.04,7948.950000000001,4028.2500000000023,873.3699999999991,1306.0600000000006,1462.9799999999996,2514.7599999999998,3655.609999999998,4514.179999999999,1601.289999999999,487.0799999999998,3981.040000000002,5071.979999999999,5511.39,6916.620000000003,6848.860000000002,4213.219999999999,1885.5899999999992,4446.920000000003,3635.8300000000017,4094.2900000000013,5290.66,5518.760000000004,3631.4700000000034,2191.31
가창,12,7027.749999999999,6953.110000000004,5398.210000000011,6489.690000000004,8616.570000000005,7106.020000000001,4416.329999999996,5769.829999999996,5031.439999999995,4591.040000000003,6575.050000000002,9643.37000000001,7799.149999999999,6544.520000000003,508.5700000000004,2308.980000000001,4605.630000000002,7189.6699999999955,7621.899999999999,4009.110000000004,1007.7599999999994,1476.97,1492.2800000000013,2611.0200000000013,3703.9599999999996,4507.329999999999,1714.1800000000003,628.0099999999991,3564.85,4243.710000000002,4731.489999999999,6026.3200000000015,6012.090000000005,3823.2700000000013,1560.4600000000005,3749.6400000000003,3277.789999999999,3571.8700000000003,4584.599999999997,4972.5999999999985,3110.96,1762.1099999999985
경대칠성,1,149603.1399999998,119176.86999999985,102143.66999999997,111765.88000000003,101837.02999999994,85594.71999999997,73763.67999999996,139911.0399999999,93186.12000000016,109014.1999999999,128511.66000000005,121985.94999999981,104005.61000000002,110998.49999999991,4999.86,13769.470000000005,18178.799999999992,22028.85000000003,19617.24999999993,10990.540000000006,5392.110000000022,4529.459999999995,14458.460000000012,16841.450000000033,20243.63,19735.65000000001,13714.88000000002,5904.250000000014,31039.57000000002,45491.27000000002,36860.74000000003,38136.96999999999,34011.62000000001,23971.45000000001,14776.26000000002,29968.49000000005,38135.92000000008,31853.680000000084,35160.67000000005,33279.95000000002,26334.09000000002,18397.569999999992
경대칠성,2,133757.96,99274.18999999996,90370.82999999994,96003.05000000006,89110.68000000004,74949.40999999995,65530.79000000001,122811.05,79553.13999999981,95109.35999999999,110395.93000000002,107372.28999999998,92154.48999999971,99063.61999999998,4443.640000000008,12050.549999999997,16216.789999999988,19890.919999999984,17866.190000000006,9322.900000000001,4860.430000000001,3746.6500000000087,12844.71,15379.660000000005,18910.969999999998,17755.529999999984,12052.590000000004,5347.660000000005,31169.730000000058,45478.550000000025,35881.300000000076,37620.57000000009,32111.280000000028,22176.21,13758.630000000017,31089.27999999997,37707.569999999985,31958.600000000006,35102.47000000001,31863.339999999975,24367.090000000007,17104.44000000004
경대칠성,3,134256.94000000006,126971.49000000003,97517.32000000007,102783.69,94470.77000000014,76268.00000000004,69872.9199999999,124905.43999999984,92448.63999999988,104266.9800000001,120011.50999999992,112853.68,98071.95999999979,105085.46000000006,16463.170000000002,14404.459999999983,19462.96999999999,23941.23000000002,21463.779999999966,10956.929999999988,5675.680000000015,16516.169999999995,16098.249999999969,19205.50999999998,22639.190000000002,20966.41000000003,13753.139999999998,6539.2300000000105,33352.45999999991,49079.65999999997,37984.71000000001,40071.88000000002,36615.029999999926,25450.519999999997,16564.700000000004,31027.47000000005,40122.200000000004,33743.19000000004,37978.86000000003,35936.40000000011,28818.77000000002,20045.820000000007
경대칠성,4,128878.39000000009,122108.00000000016,94525.38999999993,97388.81999999998,89036.35999999999,71693.47000000003,66064.41999999995,120308.83000000013,89986.02000000002,99616.91000000008,115670.1999999999,106317.56000000007,91813.97000000002,100531.4199999998,15285.299999999997,14402.82,18118.509999999995,22682.79000000001,20652.340000000026,10261.950000000019,5371.970000000009,16258.360000000033,16505.109999999997,18500.85999999998,21888.25999999999,19976.520000000008,12861.559999999996,6009.880000000023,32892.610000000044,48193.53999999993,37652.61,39332.570000000065,35843.73999999998,24712.320000000036,15534.070000000002,30533.800000000047,39631.64000000004,33026.66999999998,37306.24999999997,35135.410000000025,27796.029999999955,19862.82999999997
